sentiment,Content
anger,['abyss']
anticipation,['abyss']
disgust,['abyss']
fear,['abyss']
joy,['abyss']
sadness,['abyss']
surprise,['abyss']
trust,['abyss']
anger,['academic']
anticipation,['academic']
disgust,['academic']
fear,['academic']
joy,['academic']
sadness,['academic']
surprise,['academic']
trust,['academic']
anger,['academy']
anticipation,['academy']
disgust,['academy']
fear,['academy']
joy,['academy']
sadness,['academy']
surprise,['academy']
trust,['academy']
anger,['accede']
anticipation,['accede']
disgust,['accede']
fear,['accede']
joy,['accede']
sadness,['accede']
surprise,['accede']
trust,['accede']
anger,['accelerate']
anticipation,['accelerate']
disgust,['accelerate']
fear,['accelerate']
joy,['accelerate']
sadness,['accelerate']
surprise,['accelerate']
trust,['accelerate']
anger,['acceleration']
anticipation,['acceleration']
disgust,['acceleration']
fear,['acceleration']
joy,['acceleration']
sadness,['acceleration']
surprise,['acceleration']
trust,['acceleration']
anger,['accent']
anticipation,['accent']
disgust,['accent']
fear,['accent']
joy,['accent']
sadness,['accent']
surprise,['accent']
trust,['accent']
anger,['accentuate']
anticipation,['accentuate']
disgust,['accentuate']
fear,['accentuate']
joy,['accentuate']
sadness,['accentuate']
surprise,['accentuate']
trust,['accentuate']
anger,['accept']
anticipation,['accept']
disgust,['accept']
fear,['accept']
joy,['accept']
sadness,['accept']
surprise,['accept']
trust,['accept']
anger,['acceptable']
anticipation,['acceptable']
disgust,['acceptable']
fear,['acceptable']
joy,['acceptable']
sadness,['acceptable']
surprise,['acceptable']
trust,['acceptable']
anger,['acceptance']
anticipation,['acceptance']
disgust,['acceptance']
fear,['acceptance']
joy,['acceptance']
sadness,['acceptance']
surprise,['acceptance']
trust,['acceptance']
anger,['access']
anticipation,['access']
disgust,['access']
fear,['access']
joy,['access']
sadness,['access']
surprise,['access']
trust,['access']
anger,['accessible']
anticipation,['accessible']
disgust,['accessible']
fear,['accessible']
joy,['accessible']
sadness,['accessible']
surprise,['accessible']
trust,['accessible']
anger,['accession']
anticipation,['accession']
disgust,['accession']
fear,['accession']
joy,['accession']
sadness,['accession']
surprise,['accession']
trust,['accession']
anger,['accessory']
anticipation,['accessory']
disgust,['accessory']
fear,['accessory']
joy,['accessory']
sadness,['accessory']
surprise,['accessory']
trust,['accessory']
anger,['accident']
anticipation,['accident']
disgust,['accident']
fear,['accident']
joy,['accident']
sadness,['accident']
surprise,['accident']
trust,['accident']
anger,['accidental']
anticipation,['accidental']
disgust,['accidental']
fear,['accidental']
joy,['accidental']
sadness,['accidental']
surprise,['accidental']
trust,['accidental']
anger,['accidentally']
anticipation,['accidentally']
disgust,['accidentally']
fear,['accidentally']
joy,['accidentally']
sadness,['accidentally']
surprise,['accidentally']
trust,['accidentally']
anger,['accolade']
anticipation,['accolade']
disgust,['accolade']
fear,['accolade']
joy,['accolade']
sadness,['accolade']
surprise,['accolade']
trust,['accolade']
anger,['accommodate']
anticipation,['accommodate']
disgust,['accommodate']
fear,['accommodate']
joy,['accommodate']
sadness,['accommodate']
surprise,['accommodate']
trust,['accommodate']
anger,['accommodation']
anticipation,['accommodation']
disgust,['accommodation']
fear,['accommodation']
joy,['accommodation']
sadness,['accommodation']
surprise,['accommodation']
trust,['accommodation']
anger,['accompaniment']
anticipation,['accompaniment']
disgust,['accompaniment']
fear,['accompaniment']
joy,['accompaniment']
sadness,['accompaniment']
surprise,['accompaniment']
trust,['accompaniment']
anger,['accompany']
anticipation,['accompany']
disgust,['accompany']
fear,['accompany']
joy,['accompany']
sadness,['accompany']
surprise,['accompany']
trust,['accompany']
anger,['accompanying']
anticipation,['accompanying']
disgust,['accompanying']
fear,['accompanying']
joy,['accompanying']
sadness,['accompanying']
surprise,['accompanying']
trust,['accompanying']
anger,['accomplice']
anticipation,['accomplice']
disgust,['accomplice']
fear,['accomplice']
joy,['accomplice']
sadness,['accomplice']
surprise,['accomplice']
trust,['accomplice']
anger,['accomplish']
anticipation,['accomplish']
disgust,['accomplish']
fear,['accomplish']
joy,['accomplish']
sadness,['accomplish']
surprise,['accomplish']
trust,['accomplish']
anger,['accomplished']
anticipation,['accomplished']
disgust,['accomplished']
fear,['accomplished']
joy,['accomplished']
sadness,['accomplished']
surprise,['accomplished']
trust,['accomplished']
anger,['accomplishment']
anticipation,['accomplishment']
disgust,['accomplishment']
fear,['accomplishment']
joy,['accomplishment']
sadness,['accomplishment']
surprise,['accomplishment']
trust,['accomplishment']
anger,['accord']
anticipation,['accord']
disgust,['accord']
fear,['accord']
joy,['accord']
sadness,['accord']
surprise,['accord']
trust,['accord']
anger,['accordance']
anticipation,['accordance']
disgust,['accordance']
fear,['accordance']
joy,['accordance']
sadness,['accordance']
surprise,['accordance']
trust,['accordance']
anger,['accordion']
anticipation,['accordion']
disgust,['accordion']
fear,['accordion']
joy,['accordion']
sadness,['accordion']
surprise,['accordion']
trust,['accordion']
anger,['account']
anticipation,['account']
disgust,['account']
fear,['account']
joy,['account']
sadness,['account']
surprise,['account']
trust,['account']
anger,['accountability']
anticipation,['accountability']
disgust,['accountability']
fear,['accountability']
joy,['accountability']
sadness,['accountability']
surprise,['accountability']
trust,['accountability']
anger,['accountable']
anticipation,['accountable']
disgust,['accountable']
fear,['accountable']
joy,['accountable']
sadness,['accountable']
surprise,['accountable']
trust,['accountable']
anger,['accountant']
anticipation,['accountant']
disgust,['accountant']
fear,['accountant']
joy,['accountant']
sadness,['accountant']
surprise,['accountant']
trust,['accountant']
anger,['accounting']
anticipation,['accounting']
disgust,['accounting']
fear,['accounting']
joy,['accounting']
sadness,['accounting']
surprise,['accounting']
trust,['accounting']
anger,['accounts']
anticipation,['accounts']
disgust,['accounts']
fear,['accounts']
joy,['accounts']
sadness,['accounts']
surprise,['accounts']
trust,['accounts']
anger,['accredited']
anticipation,['accredited']
disgust,['accredited']
fear,['accredited']
joy,['accredited']
sadness,['accredited']
surprise,['accredited']
trust,['accredited']
anger,['accretion']
anticipation,['accretion']
disgust,['accretion']
fear,['accretion']
joy,['accretion']
sadness,['accretion']
surprise,['accretion']
trust,['accretion']
anger,['accrue']
anticipation,['accrue']
disgust,['accrue']
fear,['accrue']
joy,['accrue']
sadness,['accrue']
surprise,['accrue']
trust,['accrue']
anger,['accueil']
anticipation,['accueil']
disgust,['accueil']
fear,['accueil']
joy,['accueil']
sadness,['accueil']
surprise,['accueil']
trust,['accueil']
anger,['accumulate']
anticipation,['accumulate']
disgust,['accumulate']
fear,['accumulate']
joy,['accumulate']
sadness,['accumulate']
surprise,['accumulate']
trust,['accumulate']
anger,['accumulation']
anticipation,['accumulation']
disgust,['accumulation']
fear,['accumulation']
joy,['accumulation']
sadness,['accumulation']
surprise,['accumulation']
trust,['accumulation']
anger,['accuracy']
anticipation,['accuracy']
disgust,['accuracy']
fear,['accuracy']
joy,['accuracy']
sadness,['accuracy']
surprise,['accuracy']
trust,['accuracy']
anger,['accurate']
anticipation,['accurate']
disgust,['accurate']
fear,['accurate']
joy,['accurate']
sadness,['accurate']
surprise,['accurate']
trust,['accurate']
anger,['accursed']
anticipation,['accursed']
disgust,['accursed']
fear,['accursed']
joy,['accursed']
sadness,['accursed']
surprise,['accursed']
trust,['accursed']
anger,['accusation']
anticipation,['accusation']
disgust,['accusation']
fear,['accusation']
joy,['accusation']
sadness,['accusation']
surprise,['accusation']
trust,['accusation']
anger,['accusative']
anticipation,['accusative']
disgust,['accusative']
fear,['accusative']
joy,['accusative']
sadness,['accusative']
surprise,['accusative']
trust,['accusative']
anger,['accused']
anticipation,['accused']
disgust,['accused']
fear,['accused']
joy,['accused']
sadness,['accused']
surprise,['accused']
trust,['accused']
anger,['accuser']
anticipation,['accuser']
disgust,['accuser']
fear,['accuser']
joy,['accuser']
sadness,['accuser']
surprise,['accuser']
trust,['accuser']
anger,['accusing']
anticipation,['accusing']
disgust,['accusing']
fear,['accusing']
joy,['accusing']
sadness,['accusing']
surprise,['accusing']
trust,['accusing']
anger,['accustomed']
anticipation,['accustomed']
disgust,['accustomed']
fear,['accustomed']
joy,['accustomed']
sadness,['accustomed']
surprise,['accustomed']
trust,['accustomed']
anger,['ace']
anticipation,['ace']
disgust,['ace']
fear,['ace']
joy,['ace']
sadness,['ace']
surprise,['ace']
trust,['ace']
anger,['acetic']
anticipation,['acetic']
disgust,['acetic']
fear,['acetic']
joy,['acetic']
sadness,['acetic']
surprise,['acetic']
trust,['acetic']
anger,['ache']
anticipation,['ache']
disgust,['ache']
fear,['ache']
joy,['ache']
sadness,['ache']
surprise,['ache']
trust,['ache']
anger,['achieve']
anticipation,['achieve']
disgust,['achieve']
fear,['achieve']
joy,['achieve']
sadness,['achieve']
surprise,['achieve']
trust,['achieve']
anger,['achievement']
anticipation,['achievement']
disgust,['achievement']
fear,['achievement']
joy,['achievement']
sadness,['achievement']
surprise,['achievement']
trust,['achievement']
anger,['aching']
anticipation,['aching']
disgust,['aching']
fear,['aching']
joy,['aching']
sadness,['aching']
surprise,['aching']
trust,['aching']
anger,['acid']
anticipation,['acid']
disgust,['acid']
fear,['acid']
joy,['acid']
sadness,['acid']
surprise,['acid']
trust,['acid']
anger,['acidity']
anticipation,['acidity']
disgust,['acidity']
fear,['acidity']
joy,['acidity']
sadness,['acidity']
surprise,['acidity']
trust,['acidity']
anger,['acknowledge']
anticipation,['acknowledge']
disgust,['acknowledge']
fear,['acknowledge']
joy,['acknowledge']
sadness,['acknowledge']
surprise,['acknowledge']
trust,['acknowledge']
anger,['acknowledged']
anticipation,['acknowledged']
disgust,['acknowledged']
fear,['acknowledged']
joy,['acknowledged']
sadness,['acknowledged']
surprise,['acknowledged']
trust,['acknowledged']
anger,['acknowledgment']
anticipation,['acknowledgment']
disgust,['acknowledgment']
fear,['acknowledgment']
joy,['acknowledgment']
sadness,['acknowledgment']
surprise,['acknowledgment']
trust,['acknowledgment']
anger,['acme']
anticipation,['acme']
disgust,['acme']
fear,['acme']
joy,['acme']
sadness,['acme']
surprise,['acme']
trust,['acme']
anger,['acoustic']
anticipation,['acoustic']
disgust,['acoustic']
fear,['acoustic']
joy,['acoustic']
sadness,['acoustic']
surprise,['acoustic']
trust,['acoustic']
anger,['acoustics']
anticipation,['acoustics']
disgust,['acoustics']
fear,['acoustics']
joy,['acoustics']
sadness,['acoustics']
surprise,['acoustics']
trust,['acoustics']
anger,['acquaint']
anticipation,['acquaint']
disgust,['acquaint']
fear,['acquaint']
joy,['acquaint']
sadness,['acquaint']
surprise,['acquaint']
trust,['acquaint']
anger,['acquaintance']
anticipation,['acquaintance']
disgust,['acquaintance']
fear,['acquaintance']
joy,['acquaintance']
sadness,['acquaintance']
surprise,['acquaintance']
trust,['acquaintance']
anger,['acquainted']
anticipation,['acquainted']
disgust,['acquainted']
fear,['acquainted']
joy,['acquainted']
sadness,['acquainted']
surprise,['acquainted']
trust,['acquainted']
anger,['acquiescence']
anticipation,['acquiescence']
disgust,['acquiescence']
fear,['acquiescence']
joy,['acquiescence']
sadness,['acquiescence']
surprise,['acquiescence']
trust,['acquiescence']
anger,['acquire']
anticipation,['acquire']
disgust,['acquire']
fear,['acquire']
joy,['acquire']
sadness,['acquire']
surprise,['acquire']
trust,['acquire']
anger,['acquiring']
anticipation,['acquiring']
disgust,['acquiring']
fear,['acquiring']
joy,['acquiring']
sadness,['acquiring']
surprise,['acquiring']
trust,['acquiring']
anger,['acquisition']
anticipation,['acquisition']
disgust,['acquisition']
fear,['acquisition']
joy,['acquisition']
sadness,['acquisition']
surprise,['acquisition']
trust,['acquisition']
anger,['acquisitions']
anticipation,['acquisitions']
disgust,['acquisitions']
fear,['acquisitions']
joy,['acquisitions']
sadness,['acquisitions']
surprise,['acquisitions']
trust,['acquisitions']
anger,['acreage']
anticipation,['acreage']
disgust,['acreage']
fear,['acreage']
joy,['acreage']
sadness,['acreage']
surprise,['acreage']
trust,['acreage']
anger,['acres']
anticipation,['acres']
disgust,['acres']
fear,['acres']
joy,['acres']
sadness,['acres']
surprise,['acres']
trust,['acres']
anger,['acrobat']
anticipation,['acrobat']
disgust,['acrobat']
fear,['acrobat']
joy,['acrobat']
sadness,['acrobat']
surprise,['acrobat']
trust,['acrobat']
anger,['act']
anticipation,['act']
disgust,['act']
fear,['act']
joy,['act']
sadness,['act']
surprise,['act']
trust,['act']
anger,['acting']
anticipation,['acting']
disgust,['acting']
fear,['acting']
joy,['acting']
sadness,['acting']
surprise,['acting']
trust,['acting']
anger,['action']
anticipation,['action']
disgust,['action']
fear,['action']
joy,['action']
sadness,['action']
surprise,['action']
trust,['action']
anger,['actionable']
anticipation,['actionable']
disgust,['actionable']
fear,['actionable']
joy,['actionable']
sadness,['actionable']
surprise,['actionable']
trust,['actionable']
anger,['active']
anticipation,['active']
disgust,['active']
fear,['active']
joy,['active']
sadness,['active']
surprise,['active']
trust,['active']
anger,['activity']
anticipation,['activity']
disgust,['activity']
fear,['activity']
joy,['activity']
sadness,['activity']
surprise,['activity']
trust,['activity']
anger,['actor']
anticipation,['actor']
disgust,['actor']
fear,['actor']
joy,['actor']
sadness,['actor']
surprise,['actor']
trust,['actor']
anger,['actual']
anticipation,['actual']
disgust,['actual']
fear,['actual']
joy,['actual']
sadness,['actual']
surprise,['actual']
trust,['actual']
anger,['actuality']
anticipation,['actuality']
disgust,['actuality']
fear,['actuality']
joy,['actuality']
sadness,['actuality']
surprise,['actuality']
trust,['actuality']
anger,['actuary']
anticipation,['actuary']
disgust,['actuary']
fear,['actuary']
joy,['actuary']
sadness,['actuary']
surprise,['actuary']
trust,['actuary']
anger,['acuity']
anticipation,['acuity']
disgust,['acuity']
fear,['acuity']
joy,['acuity']
sadness,['acuity']
surprise,['acuity']
trust,['acuity']
anger,['acumen']
anticipation,['acumen']
disgust,['acumen']
fear,['acumen']
joy,['acumen']
sadness,['acumen']
surprise,['acumen']
trust,['acumen']
anger,['acupuncture']
anticipation,['acupuncture']
disgust,['acupuncture']
fear,['acupuncture']
joy,['acupuncture']
sadness,['acupuncture']
surprise,['acupuncture']
trust,['acupuncture']
anger,['acutely']
anticipation,['acutely']
disgust,['acutely']
fear,['acutely']
joy,['acutely']
sadness,['acutely']
surprise,['acutely']
trust,['acutely']
anger,['adage']
anticipation,['adage']
disgust,['adage']
fear,['adage']
joy,['adage']
sadness,['adage']
surprise,['adage']
trust,['adage']
anger,['adamant']
anticipation,['adamant']
disgust,['adamant']
fear,['adamant']
joy,['adamant']
sadness,['adamant']
surprise,['adamant']
trust,['adamant']
anger,['adapt']
anticipation,['adapt']
disgust,['adapt']
fear,['adapt']
joy,['adapt']
sadness,['adapt']
surprise,['adapt']
trust,['adapt']
anger,['adaptable']
anticipation,['adaptable']
disgust,['adaptable']
fear,['adaptable']
joy,['adaptable']
sadness,['adaptable']
surprise,['adaptable']
trust,['adaptable']
anger,['add']
anticipation,['add']
disgust,['add']
fear,['add']
joy,['add']
sadness,['add']
surprise,['add']
trust,['add']
anger,['added']
anticipation,['added']
disgust,['added']
fear,['added']
joy,['added']
sadness,['added']
surprise,['added']
trust,['added']
anger,['addendum']
anticipation,['addendum']
disgust,['addendum']
fear,['addendum']
joy,['addendum']
sadness,['addendum']
surprise,['addendum']
trust,['addendum']
anger,['adder']
anticipation,['adder']
disgust,['adder']
fear,['adder']
joy,['adder']
sadness,['adder']
surprise,['adder']
trust,['adder']
anger,['addiction']
anticipation,['addiction']
disgust,['addiction']
fear,['addiction']
joy,['addiction']
sadness,['addiction']
surprise,['addiction']
trust,['addiction']
anger,['addition']
anticipation,['addition']
disgust,['addition']
fear,['addition']
joy,['addition']
sadness,['addition']
surprise,['addition']
trust,['addition']
anger,['additional']
anticipation,['additional']
disgust,['additional']
fear,['additional']
joy,['additional']
sadness,['additional']
surprise,['additional']
trust,['additional']
anger,['additive']
anticipation,['additive']
disgust,['additive']
fear,['additive']
joy,['additive']
sadness,['additive']
surprise,['additive']
trust,['additive']
anger,['address']
anticipation,['address']
disgust,['address']
fear,['address']
joy,['address']
sadness,['address']
surprise,['address']
trust,['address']
anger,['addressee']
anticipation,['addressee']
disgust,['addressee']
fear,['addressee']
joy,['addressee']
sadness,['addressee']
surprise,['addressee']
trust,['addressee']
anger,['addresses']
anticipation,['addresses']
disgust,['addresses']
fear,['addresses']
joy,['addresses']
sadness,['addresses']
surprise,['addresses']
trust,['addresses']
anger,['adept']
anticipation,['adept']
disgust,['adept']
fear,['adept']
joy,['adept']
sadness,['adept']
surprise,['adept']
trust,['adept']
anger,['adequacy']
anticipation,['adequacy']
disgust,['adequacy']
fear,['adequacy']
joy,['adequacy']
sadness,['adequacy']
surprise,['adequacy']
trust,['adequacy']
anger,['adequate']
anticipation,['adequate']
disgust,['adequate']
fear,['adequate']
joy,['adequate']
sadness,['adequate']
surprise,['adequate']
trust,['adequate']
anger,['adhere']
anticipation,['adhere']
disgust,['adhere']
fear,['adhere']
joy,['adhere']
sadness,['adhere']
surprise,['adhere']
trust,['adhere']
anger,['adherence']
anticipation,['adherence']
disgust,['adherence']
fear,['adherence']
joy,['adherence']
sadness,['adherence']
surprise,['adherence']
trust,['adherence']
anger,['adherent']
anticipation,['adherent']
disgust,['adherent']
fear,['adherent']
joy,['adherent']
sadness,['adherent']
surprise,['adherent']
trust,['adherent']
anger,['adhering']
