Gr_Content,Gr_Sentiment
Εντάξει οι επιβάτες κανείς δεν είναι ζωντανός είναι όλοι νεκροί που απλά δεν το ξέρετε μέχρι το τέλος τότε θα κλάψετε,θλίψη
ήμουν κοιμισμένος στην παραλία και δεν έβαλα αρκετά αντηλιακό lol,θλίψη
ohh thursday έχω εξετάσεις όλη μέρα και τι μέρα την Τετάρτη,θλίψη
Σκεφτόμουν μόνο πόσο ενθουσιασμένος είμαι για εσάς να μετακινήσετε αλλά τότε συνειδητοποίησα πόσο θλιβερό είμαι να σας δω να πάτε,θλίψη
Λατρεύω τα sticks USB του myakey Έχουμε μόνο τα 4GB στην Αυστραλία,θλίψη
hiii im στο ipod μου λοξοτομώ να κοιμηθώ,θλίψη
"dont want to work 11830 αύριο, αλλά παίρνω πληρωμένος",θλίψη
αισθάνεται θλιβερή coz i wasnt σε θέση να παίξει με τα παιδιά http plurk compwxiux,θλίψη
Darn αυτές τις αλλεργίες δεν μου αρέσει αυτή την εποχή του χρόνου εξαιτίας αυτού ποτέ δεν είχα συνηθίσει να αντιμετωπίζω αυτό το πρόβλημα,θλίψη
ήθελα να έρθω στην BZ φέτος το καλοκαίρι όχι τόσο σίγουρος πια μια ζωή δασκάλων το καλοκαίρι SUCKS,θλίψη
Εύχομαι να ξέρει τι με βάζει Μέσα έκλεψε την καρδιά μου ποτέ δεν έδωσε πίσω και μερικές φορές της αρέσει να είναι σαν να δούμε τι έχω,θλίψη
πρώιμη ευτυχισμένη ημέρα γέννησης σε περίπτωση που δεν το κάνω Πολύ κουρασμένος από τη θεραπεία σήμερα n παίρνει ακριβώς το φάρμακό μου misshu Αγαπάτε ya,θλίψη
Αλλεργίες πιπιλίζουν παξιμάδια πάπιες lt8,θλίψη
αναρωτιέται γιατί τα σημεία της κάρμα της μετατράπηκαν σε 000 http plurk compwxj54,θλίψη
Είναι δυστυχισμένος αισθάνομαι σαν να φωνάζω το γκονγκ,θλίψη
αναστενάζω Να πηγαίνω στο κρεβάτι Δεν νιώθω πια,θλίψη
Τώρα είμαι κατάθλιψη μετά από να παρακολουθήσετε έτσι νομίζετε ότι μπορείτε να χορέψετε,θλίψη
Μόνο σταυροειδής αιτία Im κολλήσει twiddling αντίχειρες τώρα ugh,θλίψη
Τελευταία μέρα που εργάζονται για την Uni σήμερα θλιβερή φορές,θλίψη
εξακολουθεί να λείπει ο σύζυγός της τον θέλω πραγματικά σπίτι,θλίψη
Μου λείπει το κουτάβι μου,θλίψη
2 μέρες αυτού του μήνα έμειναν και έχω μόνο 400MB αριστερά στα downloads μου onpeak,έκπληξη
Έχω παραιτηθεί από τα παιδιά πίτσα δεν θα με αφήσει ποτέ να έχω fav τους καυτά,θλίψη
το yearling στο κατοικίδιο ζώο πέθανε πολύ λυπηρό για όλη την οικογένειά τους,θλίψη
Μισούμε την αλλαγή έτσι φυσικά Ήταν οπαδούς για τη ζωή lt3 Ω και αν εμείς havent συναντήσαμε Rob τότε κάτι πήγε τρομερά λάθος,θλίψη
καλά fuck αυτό το νέο med πόνο έχει μια περίεργη προειδοποίηση που ισχύει στην πραγματικότητα για μένα δεν μπορώ να λάβουν αυτό το chan είναι δυσαρεστημένος,θλίψη
μόλις ανέβασε το νέο blog μου μια οδυνηρή ιστορία για έναν άνδρα ηλικίας 80 ετών που φώναξε γιατί ήθελε να πεθάνει πολύ λυπημένος,θλίψη
Είδα μόλις φωτογραφίες από αυτό το παρελθόν Ευχαριστιών και είμαι λυπημένος γιατί η γιαγιά ήταν μέσα τους,θλίψη
Πήρε αύριο μια αλλαγή δεν νιώθω πραγματικά να δουλεύω τώρα,θλίψη
αλλά τώρα δεν έχω χρήματα για ένα τηλέφωνο,θλίψη
Πού είσαι Στο Μπρις δεν μπορώ να ακούσω οποιαδήποτε βροντή,έκπληξη
bec vs vs fatty food winner λιπαρά τρόφιμα αλλά όχι αυτή η weeknend άρρωστος το χτύπησε,έκπληξη
Είναι πολύ κακή η απογοήτευση των Red Devils να πει το λιγότερο,θλίψη
Είχα ένα όνειρο για μια όμορφη παραλία και δεν υπήρχε παραλία όταν ξύπνησα,έκπληξη
Έχετε ένα 3ware 9650SE δεν είναι αρκετά γρήγορο για 3x X25M SSD RAID5 800Mhz IOP στο HPT Μπορεί να δοκιμάσει ένα Adaptec 5405 12Ghz,θλίψη
"όταν ναι, θα έρθει εδώ ο γκαράζ σας ρωτώ πότε",έκπληξη
daaammmnnnnn Εύχομαι να ήμουν εκεί,θλίψη
"Έπαιξα μέχρι τα τελευταία μέρη του χωριού του βουντού, μέχρι να χάσω τον συνηθισμένο σύντροφό μου",θλίψη
είναι κακός φίλος,θλίψη
Δεν υπάρχει διαδίκτυο χθες το βράδυ ER ήταν brill υπήρξε μια τεράστια έκρηξη στο τέλος του ένα κοντινό εργοστάσιο φυσικού αερίου ER σε κατάσταση αναμονής,θλίψη
Ακόμα κρίμα έρχεται χωρίς αρνί όμως,θλίψη
Λυπάμαι που ακούω ότι Εδώ είναι ο αισιόδοξος μου Τα πράγματα θα γίνουν καλύτερα Για όλους μας,θλίψη
"Γιατί ολοκληρώνομαι τα ερωτηματολόγια του facebook αυτή τη στιγμή το πρωί, ειδικά ένα παρασκευή το πρωί",έκπληξη
Πρέπει να ακυρώσετε το wow για τώρα,θλίψη
Αλλά ναι Im λυπημένος για το λογαριασμό μουRavenclawquot μου αρέσει αυτό το λογαριασμό σε κομμάτια,θλίψη
Μέχρι αργά με το nothin 2 κάνει,θλίψη
μερικές φορές εύχομαι ότι τα πράγματα θα μπορούσαν να επανέλθουν στον τρόπο που ήταν οι αρχές του περασμένου καλοκαιριού,θλίψη
"Αισθάνομαι τον ίδιο τρόπο, αλλά υποθέτω ότι δεν έχει σημασία πού είστε εκεί θα είναι πάντα memes",θλίψη
Το χαριτωμένο κορίτσι της Μαλαισίας ήρθε να φαίνεται χώρος για ενοικίαση δυστυχώς πιστεύω ότι ήταν για το guyfreind λίγο παραπλανητικό και απογοητευτικό LOL,θλίψη
Epicenter Wheelock Place 250 μονάδες ενισχυτή για τους τουρίστες Μόνο από σήμερα,έκπληξη
Ας λοξοτομώ το μυστικό,έκπληξη
Λυπούμαι που δεν σκέφτομαι ότι θα μείνω τουλάχιστον σε σύγκριση με αυτό που έμοιαζα να μοιάζει,έκπληξη
"Κάθε φορά που στέλνω ένα μήνυμα ηλεκτρονικού ταχυδρομείου στον προπονητή μου, αισθάνομαι την ανάγκη να ασχοληθώ με τα shitty balls Lol",θλίψη
Το μαστίζει και δεν με αφήνει να ακολουθήσω ericka,θλίψη
"Πρόκειται να κοιμηθεί όχι ειρηνικά ήθελε να τον ακούσει να λέει Καληνύχτα, αλλά αυτό didnt συμβεί Καληνύχτα ο καθένας",θλίψη
οι μαμάδες μου προσπαθούσαν να με κάνουν να νιώθω ότι ήμουν έτοιμος να σταματήσω την ψηφοφορία και δεν κέρδισα το shortstack που σχεδόν φώναξα,θλίψη
σκέφτεται τόσο πολύ και im στη δουλειά,έκπληξη
Δεν έχω δει τον Muffin σε δύο ολόκληρες μέρες,θλίψη
αγνοήστε το yall πίσω δώστε τις ευχαριστίες μου,θλίψη
το έτος χάσματος μου γίνεται τόσο γρήγορα,έκπληξη
Μόλις βρήκα mj διαμερίσματα ποντικιού σε DJs Φυσικά δεν έχουν μείνει στο μέγεθος μου,θλίψη
ας δεν αγκαλιάζει,έκπληξη
γνωρίζω ότι τα πράγματα δεν θα είναι το ίδιο,θλίψη
Πάμε στον ύπνο Θα κοιμηθούμε να παίζουμε ξανά εφαρμογές Tmrw πρόκειται να πιπιλίζουν,θλίψη
Δεν μπορώ να πιστεύω ότι το Metal Gear Solid τραγούδι κλαπεί Im τόσο απογοητευμένος http bit lyYKkSu,θλίψη
Θα ήθελα να είχα Left 4 Dead Αλλά πρώτα Id χρειάζονται κάτι για να το παίξει,θλίψη
τα δόντια και το κεφάλι μου πονάω,θλίψη
I HATE rob ζόμπι ταινίες ενισχυθεί η μυρωδιά των ζιζανίων Vommmm,θλίψη
δεν είναι πλέον συλληφθεί ανάπτυξη είμαι λυπημένος,θλίψη
OMG συνεχίζω να χάνω τους οπαδούς αυτό είναι τόσο λυπηρό θέλω 90 μία ημέρα thats στόχος μου D,θλίψη
Αισθάνομαι τόσο αποπληθωρισμένος Όχι ακόμα σκυλάκι,θλίψη
Απλά έπρεπε να αδειάσω τα σκουπίδια μου στο mac που ήταν ένα από τα ΜΕΓΑΛΥΤΕΡΗ πράγματα που έχω κάνει στη ζωή μου 8000 φωτογραφίες είναι GONE,θλίψη
im επαφή PAWS Φιλιππίνες έτσι μπορώ να βρω quottigerquot ένας νέος ιδιοκτήτης im τόσο θλιβερό αγαπώ το σκύλο μου soo πολύ,θλίψη
μόλις πήρα σπίτι δεν θέλουν να διαβάσουν το τελευταίο chaper της θορυβώδεις αυγή προκαλεί δεν θέλω να είναι πάνω,θλίψη
Το κατάστημα Fuuudge Movie είναι κλειστό,θλίψη
Το ALO είναι τόσο λυπηρό και ήσυχο και άδειο απόψε,θλίψη
Aw πού κατευθύνεστε για να ακυρώσει ακριβώς το ταξίδι μου στο Aussie,θλίψη
Είναι θλιβερό ότι ο Christian Lacroix έπρεπε να καταθέσει πτώχευση,θλίψη
Δεν νιώθω καλά ΚΑΘΕ σε fuckkk,θλίψη
Πρέπει να πάμε αύριο στο τρομακτικό DMV,θλίψη
Taylor Swift και Joe Jonas κοίταξε πολύ καλά μαζί Im κάπως λυπηρό που έσπασαν,θλίψη
Ο Θεός θέλω μόνο να κοιμηθώ,θλίψη
Βρήκα το βιβλίο μου Ξεκινώντας ένα πραγματικό περιοδικό Paperbound απόψε Έχετε ένα ενοχλητικό zit πάνω από το χείλι μου Μου φαίνεται να έχω έρπητα,θλίψη
"Αλλά, όμως, θα ήθελα",θλίψη
"κοριτσάκι Im τόσο κάτω, αλλά πρέπει να με ενημερώσετε ώστε να μπορώ να πάρω το κιτ μου μαζί ενισχυτή πήρα ένα φυλλάδιο Κάθε επόμενο Σαββατοκύριακο IquotM ΚΑΤΩ",θλίψη
dll booooooo για να είναι άρρωστος flippin χτυπήματα bahaha i kno δεν έχω πολλούς φίλους εδώ είτε αισθάνομαι τόσο κουτσός haha,θλίψη
αισθάνεται άρρωστος στο στομάχι μου και idkk γιατί,θλίψη
"Φίλε είδα μόλις SF φωτογραφίες σας μοιάζει με μίνι εκδρομή σας ήταν πολύ κλωτσιά κώλο didnt δείτε οποιοδήποτε ήλιο, ενώ ήμουν εκεί tho",έκπληξη
Είμαι ρίχτηκε από το van χθες και έπρεπε να μεταφερθεί στο ER,θλίψη
Η σύνδεση δεν λειτουργεί,θλίψη
ur έπρεπε να είναι σε BK tho,έκπληξη
Αχ νύχτα νύχτα,έκπληξη
το ανόητο μου πάθος μου,θλίψη
"οι υπολογιστές μου σπασμένοι και έσπασα το φορητό υπολογιστή μου, έτσι έπρεπε να χρησιμοποιήσω το τηλέφωνο ahh ακόμη στο να προκαλέσει ότι fucked μέχρι παραγγελία μου",θλίψη
Είμαι ξύπνιος Κάποιος άλλος ξύπνιος Επιθυμώ ότι έζησα στις ΗΠΑ αφού όλη η διασκέδαση συμβαίνει όταν Im κοιμάται,θλίψη
heehee Σ &#39;αγαπώ είμαι κουρασμένος,θλίψη
Πρωινή κάθε συγγνώμη για τη μετάβαση νωρίς το βράδυ είχε κακά νέα αισθάνθηκε εντελώς χάλια Σήμερα είναι μια νέα μέρα,θλίψη
πώς θα ήθελα οι γονείς μου να με βάζουν σε μια κινεζική σχολή όταν ήμουν νεότερος. Τότε θα ήταν πολύ πιο εύκολο για μένα να βρω δουλειά,θλίψη
όταν βρίσκεστε στο δωμάτιό σας με προκαλεί λυπημένος,θλίψη
oh fck Έχω ξεχάσει εντελώς για Δίωξη Πέμπτη OH μου gaga αυτό χάλια,θλίψη
αν ένας λαός έκανε λάθος ο κόσμος κατηγορεί όλους τους ανθρώπους εκεί είναι αυτός ο σπουδαίος κόσμος που ζούμε στο Σκατά,θλίψη
Όλοι αυτοί κοιμούνται επειδή ζουν στην ανατολική ακτή,έκπληξη
Δεν μου αρέσει,θλίψη
Συγγνώμη για τη γάτα,θλίψη
χαμογελώντας σεφ σιδήρου,θλίψη
η έκδοση DS είναι χάλια,θλίψη
τι μια κακή μέρα,θλίψη
omg εγώ δεν τιτίβισμα όλη αυτή τη μεγάλη θλίψη σήμερα,έκπληξη
Δεν είναι πραγματικά υπνηλία βαρεθεί είναι η σωστή λέξη πάλι δεν πολλή δουλειά,έκπληξη
πήγε στο κατάστημα cd για να ψάξει για το cd Αλλά,θλίψη
Μου λείπει ο γάμος μου,θλίψη
Αισθάνομαι τον ίδιο τρόπο κάθε μέρα,θλίψη
Αλήθεια ύπνος Sucks Η μια μέρα που έχω να κοιμηθώ μέσα και πρέπει να σηκωθώ και να πάω για ψώνια με τη μαμά Ugh,θλίψη
Sleppytime Αληθινά λείπει ο νονός μου τώρα Αγαπάτε τον Wayne,θλίψη
Έχετε λοιπόν έναν πονοκέφαλο τώρα και είναι χάλια,θλίψη
Lakers Lakers μωρό Lakers Λείπει το παιχνίδι tmwr έχω να δουλέψει youll πρέπει να με κρατήσει ταχυδρομημένο παρακαλώ,θλίψη
άνετο φαγητό της ημέρας pan mee αν και didnt γεύση καθόλου καλό,θλίψη
λείπει το μωρό μου,θλίψη
Είμαι κακός και δεν μπορώ να κοιμηθώ,θλίψη
έχει tom tom,θλίψη
σήμερα λέμε αντίο στον δεύτερο καλό φίλο σε μια εβδομάδα από dmp αλλά τουλάχιστον ο ήλιος είναι shinning και Im σίγουρα ΔΕΝ εργάζονται αυτό το pm,θλίψη
fuckinm transtelecom,οργή
tee we beef αυτό που έπρεπε να κάνει πριν από leavin,έκπληξη
Μερικές φορές τα πράγματα που λέτε βλάπτουν αυτά που αγαπάτε πιο ακούσια Και ποτέ δεν μπορείτε ποτέ να τα πάρετε πίσω ή να τα διορθώσετε,θλίψη
αυτό είναι χάλια,θλίψη
Έχοντας το Fever δεν νιώθεις να δουλεύεις,θλίψη
οι ημέρες που λείπουν δεν μπορούν να περάσουν αρκετά γρήγορα,θλίψη
Εργάζοντας από το σπίτι σήμερα η πλάτη μου με σκοτώνει τον γιατρό και στη συνέχεια το physio αργότερα σήμερα,θλίψη
Σας λείπουν όλοι βαθιά,θλίψη
sniff sniff πάρτε φροντίδα ravels Ας ελπίσουμε καλά να κουβεντιάσουμε ξανά σύντομα Μέσα στο χρόνο Ill Ill HELLA σας λείπει,θλίψη
Δεν την θέλω να φύγει,θλίψη
Εργασία όμως Fridaaaayyyyy του,οργή
lmao thats λυπημένος κάπως με αποθαρρύνει 4rom goin εάν τα shits wack,θλίψη
Πήρε σπίτι από τη δουλειά 945 και τελείωσε τελείως ο καθαρισμός Τώρα πρέπει να φάω δείπνο και dont ξέρει τι θέλω Ugh OH καλά Δεν μπορεί να φάει,έκπληξη
Θα ήθελα να ήμουν εκεί,θλίψη
Μου λείπει η μικρή μου Batty ήταν μόλις 3 μηνών όταν άρρωστο ήταν πάντα τόσο διασκεδαστικό και γεμάτο ζωή lt3 Ακόμα και στο τέλος,θλίψη
το πρωί και πάλι μισώ τα πρωινά τόσο επιθετικά,θλίψη
κρεβάτι κρεβάτι κρεβάτι δεν απαντάτε ποτέ κείμενα πια σκέφτηκα σας την άλλη μέρα και έστειλε ένα αλλά ποτέ δεν άκουσα πίσω Sad ημέρα,θλίψη
waah Δεν υπήρχαν πλέον οι επιθεωρήσεις σας,θλίψη
LOL wow dawg does not ακούγεται σαν youre να παίζω νιώθω άσχημα τώρα haha,θλίψη
Εξαιρετικά βαθύ,έκπληξη
Λυπάμαι για τις κακές σας εμπειρίες οδήγησης,θλίψη
Έχει ήδη χάσει,θλίψη
"theres ρευστοποίηση των τελών, όταν δεν ολοκληρώνετε μια πώληση που είναι χάλια",έκπληξη
Εκσπλαχνισμένο ότι το μπάνιο εξακολουθεί να μην είναι ελεύθερο πρώιμο έργο isnt πρόκειται να συμβεί Και χρειαζόμαστε το loo,θλίψη
Εγώ επίσης θαυμάζω αν το Mnet θα το δείξει,έκπληξη
ευχαριστώ λοξοτομείτε περιμένετε ummm btw ima crash ακόμα άρρωστος,θλίψη
Πρώτα ο υπολογιστής μου εργασίας τώρα laptop μου σπίτι είναι fucked,θλίψη
Η καταθλιπτική του Im κολλήσει μέσα όλη την ημέρα,θλίψη
Μισώ να αρρωστήσω που μου λείπει και,θλίψη
Ξύπνησα Θέλω να μείνω στο κρεβάτι μου,θλίψη
Ανεπιθύμητα φυτά τομάτας πέθαναν,θλίψη
Caant Iht Να είναι νωρίτερα ICant Περιμένετε ότι Long Ahar,θλίψη
Δεν μπορώ να χρησιμοποιήσω το βατόμουρο μου σήμερα Αυτό είναι χάλια,έκπληξη
γιατί με μισείς,θλίψη
"http twitpic com663vr Θέλησε να επισκεφτεί τα ζώα, αλλά ήμασταν πολύ αργά",θλίψη
jonaswebcast το έχω χάσει,θλίψη
"Έτσι, εξαντλημένος ύπνος δεν μπορώ να αρέσει αυτές τις νύχτες",θλίψη
im θα χάσετε όλες τις ζωντανές δράσεις κομήτη αύριο θα πρέπει να πάω να φροντίζουν ξαδέλφια μου και δεν έχουν πρόσβαση στο interwebz,θλίψη
lol λοξοτομώ το ποτό,έκπληξη
αν το bill compton έχει wii γιατί δεν μπορεί να το έχει twitter,έκπληξη
Λυπάμαι που το ακούω αυτό,θλίψη
Απλά ανακάλυψα ότι δεν μπορώ να πίνω σε αυτό το μπαρ Booo λείπει e1 σε palominos Δεν χαμόγελο θλιβερό πρόσωπο,θλίψη
Συσκευασία Δεν μου αρέσει,οργή
τελείωσε ένα ολόκληρο κουτί παγωτού,θλίψη
btw Δεν είμαι wimp,θλίψη
Δεν μπορώ να σας προσθέσω στο myspace girly ζητά ένα επώνυμο και email,θλίψη
Δεν θέλω να επιστρέψω για να δουλέψω ύποπτος χρόνος,θλίψη
http bit ly3W9w1 NOOOO πηγαίνει για Orlando OMG Im gonna CRY,θλίψη
AAAAAAHHHHHHHH SOOOOOOOO SWEEEEEEET Μου λείπει αυτή η ηλικία SOOOO MUCH,έκπληξη
Ακριβώς είδε μια αλεπού καθώς πήγαινα στον αυτοκινητόδρομο ελπίζω να πάει στο σπίτι,έκπληξη
η ανακάμψή της στις Ηνωμένες Πολιτείες πήρε το ταλέντο της Βρετανίας φαίνεται πιο ταλαντούχος από την Αμερική,έκπληξη
Morning John ναι εγώ όμως έχω μια σύγκρουση ημερολόγιο και δυστυχώς δεν μπορεί να παρακολουθήσει,θλίψη
Μου λείπει ο φίλος μου,θλίψη
Ναι είδα μόλις αυτό το πραγματικά λυπηρό εμπορικό,θλίψη
Hmmm Χρησιμοποιώντας TinyTwitter σε μια μικρή οθόνη nontouch δεν είναι πραγματικά πολύ διασκεδαστικό,θλίψη
Μισεί να κοιμάται μόνος του,θλίψη
Μου άρεσε ο johnny carson τώρα θα με μισώ βλέποντας jay leno πάει,θλίψη
ακόμα κι αν ο καθένας ήθελε να κάνει ένα νέο κομμάτι και ο δάσκαλός μας συμφώνησε S παλιά γκρινιάρης does not όπως μας χαρά χαχα,θλίψη
ya έκανα όλη την ημέρα χθες συνάντησε τον οδοντίατρο και αισθάνομαι λίγο καλύτερα ακόμα έμοιακα σαν βραχώδης balboa αν και,θλίψη
Τελικά το διαδίκτυο είναι επάνω Ο διακομιστής είναι κάτω στο Φοίνιξ και ήταν fucked επάνω,έκπληξη
Δεν πήρα μια επανάκληση για το παιχνίδι που φώναξα OH καλά Υποθέτω την πλάτη του να είναι techie,θλίψη
Θα ήθελα κάπως να πάω μαζί σου τώρα δεν μπορώ να κοιμηθώ,θλίψη
Δεν λυπάμαι ακόμα,θλίψη
FALL ASLEEP ON ME AGAIN Αλλά ξέρω πώς αισθάνεται τώρα LOL Drag Me To Hell απόψε Απόλυτα ενθουσιασμένος,θλίψη
um έτσι δεν σκέφτομαι το κείμενό μου μηνύματα έχουν quotsubject linequot εγώ αποτύχει,θλίψη
πόνος στην κοιλιά,θλίψη
Μαθηματικά κουίζ Εάν Meow αλλά Αλλεργίες τότε Meow Αλλεργίες,έκπληξη
Λυπάμαι Andrew Επιθυμώ ότι υπήρχε κάτι που θα μπορούσα να κάνω,θλίψη
σαν να εργάζομαι τελείως σε έντεκα είναι αυτό που ακόμη και να επιτρέψω την αιτία που πραγματικά δεν θέλω να χαλάω,θλίψη
im δεν σε chasetons είτε παρακαλώ dont πεθάνει η καρδιά μου θα είναι πραγματικά λυπηρό,θλίψη
Hey Peter ευχαριστώ για την ακολουθήστε Τόσοι πολλοί Σύλλογοι πάστορες tweet Ντροπή που δεν είναι οι πάσχοντες του Bris στο Twitter ήταν πίσω,έκπληξη
Ξύπνησα εξαιτίας ενός πολύ κακού ονείρου,έκπληξη
Λοξοτομώ τον ύπνο αυτό είναι τόσο βρώμικο απογοητευτικό,θλίψη
"μόνο μία από εκείνες τις ημέρες, όπου η μοναξιά σέρνει σε σας, σας χαστούκια στο πρόσωπο",θλίψη
RIP kelly fucccccck,θλίψη
Δεν αισθάνεστε πολύ καλά,θλίψη
Ok Ο χρόνος για να κλείσει το gonna είναι μια μακρά μέρα αύριο Πείτε αντίο στο αυτοκίνητό μου για το καλό,θλίψη
μου λείπει oklahomaaaaa ακούγοντας τον πολίτη αντιμετωπίσει til βγαίνω έξω,θλίψη
η αστεία μου είναι λίγο λυπημένη την τελευταία μου μέρα,θλίψη
Η Jenny αποκοιμήθηκε και δεν ήρθε,θλίψη
Θέλετε να με διδάξατε με νύχτα ταινιών,θλίψη
Ive έχασε ένα φέτος Είναι το απαγορευμένο φρούτο Από όλα τα δέντρα στον κήπο μου munch στην απογοήτευση σε αυτό,θλίψη
"Το λατρεύω, αλλά εγώ knw εκεί gna κομμένα τα πράγματα στην τηλεόραση",θλίψη
Κάνω αλλά Im σε μια αυστηρή δίαιτα ugh νιώθω σαν να κλέβω για μια ημέρα άρρωστος ρίχνω τα πάντα επάνω,θλίψη
"Έτσι, η διάσωση του Cal Dachshund βρήκε ένα σπίτι για το νήπιο μου Max Im soooooo λυπημένο που τον βλέπει να φύγει",θλίψη
wow αισθάνομαι σαν ish και πραγματικά αισθάνομαι άσχημα γιατί αυτά τα άγρια αθήματα δεν θα ανατρέψουν prop 8,θλίψη
off να δουλέψουν τώρα τελειώσουν περίπου 9:00 booooo,θλίψη
Επιθυμείτε να μην μου πειράξατε με νύχτα ταινιών,θλίψη
ίσως θα έπρεπε να πάρω να πίνω και πάλι αισθάνομαι σαν να έχω μια μαζική απόλυση ακόμα δεν είναι σήμερα εσύ,θλίψη
θα πρέπει να κοιμάται χάσει τη φωνή μου πριν από λίγες μέρες,θλίψη
Ήμουν πολύ νυσταγμένος νωρίτερα και δεν κατάφερα να δω ματ,θλίψη
Απλώς συνειδητοποίησα ότι έγραψα κάτι που δεν ήταν σωστό όταν έκανα tweeted ότι πρέπει να με μισήσει τώρα,θλίψη
πώς να έχει ένα λαμπερό πρόσωπο την επιδερμίδα μου είναι πάντα τόσο χλωμή,θλίψη
Το downloadfestivals lineup δεν είναι τόσο καλό όσο σκέφτηκα ότι υπήρχαν Υπάρχουν μερικές άλλες φοβερές μπάντες που κάνουν τα φεστιβάλ αλλά λείπουν DL,θλίψη
Έτσι ευχόμαστε το παιχνίδι Carlton ήταν σε ζωντανό ηλίθιο κανάλι 7 lol,έκπληξη
oh όχι το tweetdeck μου είναι δυσλειτουργία O il έχει web θα fixd του,θλίψη
im συγγνώμη για σας εξακολουθείτε να είστε άρρωστος u γνωρίζετε τα περισσότερα από αυτά και ξέρω ότι u θα μαντέψει το quotezer presentquot,θλίψη
Adam Samberg νέα φεγγάρι trailor καλό βράδυ Πάρα πολύ κακό μου καλώδιο είναι μακριά από την παρασκευή,θλίψη
Μόλις πήρα τον κώλο μου κλοτσιές στην Τρίπολη lol πήρα τόσο κακά κάρτες μου πιπιλίζουν,θλίψη
Annnnnddd ένα άλλο δαγκώνει τη σκόνη,θλίψη
στην 42η γραπτή fuck μου παίρνω λιγότερες ιδέες κάθε μέρα και κάθε μέρα,θλίψη
Θα ήθελα να έχω χρόνο για το σχέδιό μου xbox όλα δεμένα,θλίψη
"Ουάου Αυτό βλάπτει τον τρόπο χειρότερα από ό, τι νόμιζα ότι θα",έκπληξη
Και τα σκουπίδια αντανακλούν το αύριο το βράδυ υποθέτω,θλίψη
αισθάνεται σαν χάλια όποτε αυτή καθορίζει Μισώ καυστικός οσφυαλγία ενισχυτές,θλίψη
Σας λείπει η μοναχική και άδειά του χωρίς εσύ http yfrog com3o3zxoj,θλίψη
NOICE συνειδητοποίησα ότι μετά τις εξετάσεις έχω 2 ακόμα εβδομάδες ξέχασα για τις 2 εβδομάδες της Μονάδας 4 στο όρο 2 πράγμα,θλίψη
Λείπει ο καθένας,θλίψη
Το sisser μου κινείται αύριο και με κάνει να λυπημένος πραγματικά υποθέτω τεχνικά σε μερικές ώρες από την ήδη την Παρασκευή,θλίψη
Καμία αμαρτία για μένα αύριο,έκπληξη
Bahh η αστυνομία τελείωσε το πάρτι 5 Μόλις ξεκίνησα,έκπληξη
αυτό είναι τόσο λυπηρό,θλίψη
omg youve ποτέ δεν είδε το δαχτυλίδι του μια κρέπα ταινία κώλο,έκπληξη
